rating,comment
bintang 5,"Buat yang nanya kualitas suaranya bagus ini bagus banget untuk harga segini, untuk batre awet 4 jam. sudah 2/3minggu pemakaian masih awet"
bintang 4,Aman..berpubgsi
bintang 4,mantap
bintang 5,"Paket sudah diterima sesuai dengan pesanan, thanks gan"
bintang 5,barang bagus woryid sih
bintang 4,bagus dgn harga murmer
bintang 5,lumayannnn
bintang 5,berfungsi dengan baik
bintang 5,"yah buat harga 30rebu bass-nya standar harga segitu, buat game kaya pubg , ff ga rekomendasi sih delaynya terlalu lama smpe 3 detik"
bintang 5,asalole
bintang 5,"paking rapi , pengirimannya cepat dan kwalitas hand freenya ok banget."
bintang 5,"Barang terkirim baik, cepat Hanya saja kualitas memang jelek sesuai harga , yang sebelah kadang ga ngecas pas ditaruh jadi malah otomatis nyambung ke hp terus"
bintang 5,"packing rapi,,,barang pun aman👍"
bintang 5,"mantap, barang nya berfungsi, real Pict & fast respond 👍🏻👍🏻"
bintang 3,"tempat dusnya seperti tidak baru, sama kalau dipakai sering putus² suaranya."
bintang 5,paket dah sampai..paket lengkap dan sesuai.. mudah-mudahan berfungsi dengan baik.. terima kasih.
bintang 5,"barang sesuai, paket rapih"
bintang 4,"barangnya sih ok...tp kenapa yaa kemasan bagian dalamnya ada yg rusak atau bolong, tolong utk sellernya memperhatikan kemasan dalamnya meskipun barangnya oke atau dalam k..."
bintang 5,"bagus, tqpi masih kk yg m10"
bintang 5,barang sesuai
bintang 5,"ya lumayan, pengiriman baik, packing baik, qualitas barang ya sesuai harga, suara agak sempreng."
bintang 5,fast response dari spek di kardus sih udah bluetooth 5. sesuai spek
bintang 2,"Barang sudah sampai, tapi TWSnya kanan semua, apa pas pairing tidak dicek lagi?"
bintang 4,"Barang nya berfungsi dengan baik, sesuai dengan harganya. Cuma packingnya alakadarnya sampai-sampai box nya penyok. Untung aja isinya aman. Diperbaiki lagi buat pelayanan..."
bintang 5,ok..mntapp...
bintang 5,"Pengiriman cepat, pesan sekarang besok sudah sampai, suara jg lumayan meskipun harga murah"
bintang 4,"paket sudah mendarat masih belum di coba, masih sibuk.. semoga awet 🙏 *4 dulu"
bintang 5,bagus
bintang 5,mantab barang bgus dan berkualitas terimakasih kak
bintang 5,"Terima kasih barang sudah diterima, bentuk headset bagus dan koneksi mudab serta suaranya juga nyaman, keduanya berfungsi. Sukses selalu!"
bintang 5,sesuai tidak mengecawakan
bintang 5,bagus next order lagi
bintang 5,sudah 1 bulan di pakai baru review. Baterai masih lumayan awet 3 jam an.
bintang 5,sesuai dengan gambar dan suaranya bagus
bintang 5,"berfungsi dengan baik, semoga bisa bertahan lama, pengiriman juga cepat"
bintang 5,mantabz barangnya realpict👍
bintang 5,"bagus, semoga awet."
bintang 5,"Mantafff,sukses trus boss"
bintang 5,"sesuai pesanan, berfungsi dengan baik"
bintang 5,Sangat bagus dan murah sekali. highly recommended.
bintang 2,"audio delay, suara lumayan, speaker sebelah kiri mode charging lama (indikator merah). Walau yg sebelah kanan sudah penuh, yg kiri tetap menunjukkan mode charging"
bintang 3,"Kabel chargernya melepuh pas di cas. Bentuknya kegedean juga, gak sesuai sama kuping indonesia."
bintang 5,"Bagus banget, minus kalo jaringan jelek saat main game suara jadi delay"
bintang 5,keren dan suaranya bagus bgt..
bintang 5,****************************************************
bintang 5,Produk berkualitas dengan harga terjangkau. Semoga awet.
bintang 5,👍👍
bintang 3,tidak bisa cara menggunakanya
bintang 5,ok barang sesuai pesanan
bintang 5,barang sesuai pesanan
bintang 4,Lumayan sesuai harga
bintang 4,sesuai dengan harganya lah
bintang 5,barang aman all mantap lah
bintang 4,"Kedua produk diterima dengan baik. Yang satu berfungsi sempurna. Yang satu lagi, produk diterima dengan tanpa segel plastik, Salah satu earpiece-nya tidak berfungsi, bahk..."
bintang 5,"packing aman, rapi. tws berfungsi dg baik. suara bagus. semoga awet"
bintang 5,"terima kasih barang sudah cepat sampai, tapi tahan tidak terlalu lama klo dengar musik, yg kiri seperti nya aga bermasalah sedikit, tapi semoga awet"
bintang 5,good
bintang 4,"Barang Cepat Sampai, Tp Masih bingung Pengoperasiannya.."
bintang 5,tws sekaligus untuk powerbank bagus banget dan masih menggunakan kabel casan kabel usb belum type c
bintang 5,lumayan lah
bintang 4,"barang sesuai harga, good lah"
bintang 4,"packing aman banget. Alhamdulillah. Langsung di cas, setelah angka menunjukkan 100 💯 baru saya coba suaranya enak jernih ya sesuai dg file yg diputar. lumayan sekali lo..."
bintang 2,"Slot charger eror, gagal charge. harus ditekan pada bagian kuningan charger. overall suara oke. kualitas sesuai harga."
bintang 5,"Barang sudah sampai, terima kasih"
bintang 4,mayanlah buat harga segitu. yg penting ada suaranya..
bintang 4,worth it
bintang 5,mantap bass nya enak
bintang 5,lumayan bagus sesuai harga
bintang 5,"bagus coi gak salah beli,"
bintang 5,"sesuai deskripsi,,barang bagus,murah tapi tidak murahan,,,cocok di hp redmi 10C"
bintang 3,Sesuai dengan harga gabisa berekspektasi tinggi
bintang 5,packing rap earphone berfungsi dengan baik
bintang 5,"maaf baru di buka paketnya, barang bagus sudah di coba ok semua suara lumayanlah untuk harga segitu,tapi ok thanks untuk semua"
bintang 4,"berfungsi dengan baik , tapi kabel charger nya warna nya kusam kaya bekas"
bintang 3,"Ya ada harga ada baranglah untuk basss biasa"" aja diharga segitu tapi oklah"
bintang 5,pesenan sudah sampai sudah aq coba normal moga awet... terimakasih
bintang 5,Barang layak pakai
bintang 5,mantap jiwa
bintang 3,kalo pengen nge cas harus di tekan dlu tidak langsung tempel headsetnya
bintang 5,"ok lah saya kasih bintang 5, tapi kedepannya tolong buku panduannya harus sesuai dengan benda nya, ini buku panduan kok gak sesuai sih, klo berfungsi Alhamdulillah baik."
bintang 5,mantul
bintang 5,"barang sampai sesuai, kurir cepat, admin ramah"
bintang 5,"produk bagus... koneksi cepat, sesuai dengan harga"
bintang 5,mantabzz
bintang 5,berfungsi dengan baik
bintang 1,belom seminggu ga bisa si charge sebelah
bintang 5,cukup aman u packingnya
bintang 4,👍 ok laah
bintang 5,"kualitas ok, harga murah"
bintang 1,"penjual setelah barang sampai dan kita komplen tidak ada tanggapan di chat lampu led hanya nyala sebelah dan hedset kadang nyambung kadang juga kagak, *** emang buang bua..."
bintang 5,paket headset bluetooth nya sdh Sampek pengiriman cepat blom di coba dan ngga bisa kasih lihat fotonya Krn msh pergi luar kota makasih penjual dan Toko pedia 🙏
bintang 5,pesenan sudah sampai sudah aq coba normal moga awet... terimakasih
bintang 5,"bagus ga ada delay, lancar, rekomendasi banget buat yang cari tws murah dengan kualitas bagus"
bintang 5,top
bintang 5,"koneksinya per headset, jadi di HP ada 2 BT dan bisa dijoinkan klo mau dipakai ke 2 nya. utk kwalitas suara sdh cukup lumayan... 👍👍👍"
bintang 5,headsetnya bagus untung sampai dengan selamat tapi saat tb Di Sini kardus Dan Packaging nya Kurang Baik Itu aja sih makasih
bintang 5,suara okelah..... untuk harga segini worth it lah yah
bintang 4,sesuai harga ringkih
bintang 5,berfungsi semoga awet
bintang 5,bass ok suara ok
bintang 4,"not bad lah , sesuai harga"
bintang 1,"Salah satu earphone nya menganga. Barang masih berfungsi. Pada saat unboxing tidak membuat video, sehingga komplain di tolak."
bintang 5,"barang ok,pengiriman cepat"
bintang 5,lumayanlah
bintang 5,bagus....nyala semua .harga murmer udah dapet tws canggih....semoga awet deh.
bintang 5,berpungsi baik semoga awet
bintang 1,"suara ny d luar expetasi..... ber hrap bass ny bgus,trnyta zonkkkkkkkk"
bintang 5,barang bagus sesuai sama harganya 👍🏻
bintang 5,seneng banget pesanan nya udah datang dan cepet banget sampai nya 😆
bintang 5,mantap dapet discount.. brg ok bertungsu dgn baik
bintang 5,barang sudan didterima
bintang 5,"type bluetooth bukan F9, dan ini bukan produk original, dulu pernah beli yg ori beda ama yg ini"
bintang 5,"Packing aman. Baterai tahan lama. Ada slot usb untuk output, sepertinya bisa untuk power bank? Suara OK"
bintang 5,mantap
bintang 1,"cable usb tdk bs koneksi ke wireless headset, buka boks wireless susah"
bintang 5,"alhamdulillah berang udah nyampe dan pengirimannya cepat ,belum di coba sih"
bintang 4,"barang bagus, respon penjual kurang baik"
bintang 4,"packing sedikit penyok, tp gpp masih berfungsi dengan baik. cukup worth it dengan soalnya dapat diskon jadi 6k aja wkwk"
bintang 5,Barang sampai tujuan sesuai estimasi
bintang 5,puas bagus barang ya
bintang 5,"packingnya rapi bangett , barangnya juga okee 🐰🐰🐰"
bintang 5,wireless headset luar biasa bagus banget suaranya ngebaaasss .. jernihnya suara dalam telinga ku tokonya amanah.. terimakasih and kurirnya... terimakasih bang..and tak lu...
bintang 5,"bgs jg lmyn lah dgn hrg segitu yg ptg tws bs dngr music, main game dan tlpan tq"
bintang 5,Nyampenya cepet barang ok gaada kendala
bintang 4,kaget saya kira headset nya mati sebelah ternyata cuma bisa di pakai satu aja
bintang 5,mantab pengiriman cepat..kualitas suara bass nya ada..top lah sesuai harga dan ga kecewa
bintang 5,"not bad, semoga awet"
bintang 1,barang rusak. gk bisa di cas.
bintang 5,"sesuai ekspektasi ni gaesss... pengiriman luar biasa sehari sampe, tp pilih ongkir regular hehehhe.. liat sendiri fotonya.. rekomendasi gaess..."
bintang 5,"barang sesuai dengan display yang ditampilkan, kualitas suara bagus sesuai dengan harganya, memuaskan dah 👍"
bintang 4,bass nya agak kurang
bintang 5,Berfungsi dengan baik
bintang 5,Paket sudah sampai dan dikemas dengan baik. Terima kasih
bintang 5,brang sdh sampai.. kiriman nya cepat. produk sesuai.. so far so good
bintang 1,"Earphone yang sebelah kanan ga nyala, dicas pun trs aja merah kek gitu dari malem Ampe siang. Nyesel bgt!!! mana pelayanan admin nya buruk bgt!!! lain kali pikir pikir lg..."
bintang 5,mantap aman terpercaya
bintang 5,"mau mengomentari bagaimana nyatanya dpt harga murah dg kupon,tp klo bayar normal agak kecewa sih,kanan kiri tidak bisa bunyi bersamaan harus sendiri2."
bintang 1,ear bluetooth yg seblh kanan tdk berfungsi saya kecewa
bintang 5,ok
bintang 5,mantap
bintang 5,"barang bagus, semoga awet barangnya gan.."
bintang 5,mantap
bintang 5,seller gokil sih....produk bagus berfungsi semua....hrg murah...ceept sampe
bintang 5,pengirimannya cepat
bintang 5,"pengiriman cpt, smpai jg cepat dan amazwoww.. barangnya keyen bgtt sesui dgn kebutuhan sy hrga disc afgann keren pokoknya happy olshop😍"
bintang 5,"kualitas y mantep banget, Alhamdulillah awet."
bintang 5,"packing aman, barang berfungsi dengan baik. udah bberapa kali beli disini amanah sesuai pesanan."
bintang 5,BAGUS
bintang 5,"Barang sudah sampai, terima kasih"
bintang 4,kemasan penyok penyok tpi secara keseluruhan okei kaarna sesuai dengan harganya
bintang 5,barang bagus pengirimannya ampun
bintang 5,barang oke
bintang 5,"Nyaman di pakai, dan suara yang dihasilkan OK"
bintang 4,lumayan untuk harga segitu
bintang 4,berfungsi sebagaimana mestinya.murah meriah oi🤪
bintang 5,"Terimakasih baru pertama kali beli di Tokopedia ini,dan barang yang datang sesuai sama pict dan gk ada yg rusak. Makasih sekali buat penjualnya sukses trus"
bintang 4,Produk bekerja dengan baik. Pengiriman sesuai estimasi. Murah abes! Cuma kurang di buds kiri magnetnya kebalik jd harus diganjel pas ngecharge.
bintang 5,"sangat baik, cepat. lebih bagus dalam bass daripada vokal suara, buat jedag-jedug makin mantap"
bintang 2,kualitas lumayan..
bintang 5,"barang oke, respon cepat"
bintang 5,"Setelah pemakaian sebulan, barangnya masih oke dan kualitas suaranya masih bagus, tapi daya tahan baterai nggak terlalu awet, pemakaian 3-4 jam langsung habis... selebihn..."
bintang 5,packing nya aman dan barang baik baik saja
bintang 3,baru berapa kali dipake eh senggol sedikit langsung lepas
bintang 5,ok
bintang 5,"barang sesuai👍, semoga awet"
bintang 5,murah tapi berkelas klau pakai 2nya bas baru muncul dan terasa nyaman di telinga 2jam pakai nonton
bintang 5,bagus bagus... cuman penyok tp gpp lah mungkin waktu kirimnya
bintang 5,packing bagus dan kualitas barang untuk tws oke
bintang 4,bagus
bintang 1,"sesuai harga, pasti salah satu ada yg mati ntah kanan ato kiri"
bintang 5,sesuai order
bintang 4,"packing pengiriman bagus, tapi untuk keadaan barang didalamnya serba terbuka tidak rapi, cek suara good, mic juga ok ga bisa nuntut banyak dilihat dari harga juga, pengis..."
bintang 5,"Sampai dengan aman, berfungsi dengan baik & sesuai ekspektasi"
bintang 5,"bagus, berfungsi"
bintang 5,mantappppp
bintang 5,"pengiriman relatif cepat, barang sampai dengan baik dan berfungsi dengan benar"
bintang 5,sesuai pesanan
bintang 5,mantap ngegas banget cocok buat game nh
bintang 5,"Barang sudah diterima dalam keadaan baik,pengiriman cepat, Barang sesuai Etalase Kualitas Suara ga kalah sama yg Diatas harga ini,Suara jelas Bass empuk. Thanks Seller th..."
bintang 4,"ya emng ada harga ada kualitas,GK bisa protes banyak,tapi untuk harga segini ok lah"
bintang 4,bagus..sesuia
bintang 5,yap mantap bet kak
bintang 5,mantap amanah tokonya
bintang 5,Good
bintang 5,"semua berfungsi,,keren,,puas.."
bintang 5,"packing rapi,aman dah suara juga ngebas bagus"
bintang 5,baeang bagus pengriiman cepat
bintang 5,"Mudah2an awet, thanks"
bintang 5,keren moga awet
bintang 5,mntp
bintang 5,untuk pengiriman super cepat antara penjual dan kurirnya. semoga barang nya tidak mencewakan
bintang 5,"bagus, harga terjangkau"
bintang 5,barang sampai dengan selamat dan mulus sukses trus untuk penjualnya
bintang 5,Mantapp
bintang 5,sesuai ekspektasi
bintang 5,Aman ditempat
bintang 5,senang sekali..bagus bgt.bisa power bank.blutut.suara jrrnih..banyak fungsinya..sy dari sby..barang aman trrkendali
bintang 5,"berfungsi dengan baik ,suaranya jernih ,bass lumayan ,packing aman pakai bubblewarp walau ga terlalu tebal ,lumayan buat harga segitu mah , thanks udah dikirim 👍"
bintang 5,value for the money! tapi tetep nggak nyangka untuk harga segitu decent quality banget
bintang 5,good
bintang 5,"BARANG SUDAH SESUAI PESANAN,TERIMA KASIH"
bintang 5,cepet buanget sampenya kualitas ok berfungsi dgn baik suara jernih harga terjangkau sukses trus ya
bintang 5,Mantap jiwa.. cepat sampenya
bintang 5,"barang bagus, pengiriman cepat. saller top"
bintang 4,lumayan lah
bintang 5,"bagus barangnya sudah sampai, dan setelah saya coba awalnya ngiranya satunya rusak tidak ada suaranya, ternyata tinggal ngikutin kertas panduannya sudah selesai masalahny..."
bintang 5,bagus bgt makasih
bintang 5,pengiriman cepat . manteps
bintang 5,"barang nya berfungsi dengan baik tidak ada rusak, packing rapih untuk tws nya suaranya jernih di harga segitu, trs pas di kuping, jadi klo di pake buat dengerin lagu di j..."
bintang 4,"Berfungsi dg baik,tp yg kirinya kecil suaranya kl dicas goyang2…yg dipesan f9-5.1 yg datang f9 aja…tdk sesuai"
bintang 5,bagus
bintang 5,"packing aman rapi, tws berfungsi dengan baik, terimakasih seller dan tokopedia"
bintang 1,"M90 SEBELAH ERROR. GK BISA PAIRING, HIDUP MATI HIDUP MATI. ERROR KAKKKK!!!!"
bintang 5,bagus
bintang 5,lumayan
bintang 5,mantappppl
bintang 5,berfungsi dengan baik sayang boros baterai but its okay
bintang 5,"Alhamdulillah pengiriman cepat, semua fitur berfungsi dengan baik, kualitas sesuai harga, puas dengan barangnya, semoga awet dan gak ada masalah, respon chat juga cepat d..."
bintang 5,"packing bagus, kualitas oke, tapi indikator charger cepet banget nguranginya"
bintang 1,headset sebelah kiri tidak berfungsi/tidak ada suara
bintang 5,sesuai dengan harga.. semua berfungsi dengan baik tp battery cepat habis
bintang 5,sesuai pesanan recommended seller cepat sampai packing rapi
bintang 5,Berfungsi dgn baik. Terima kasih
bintang 4,paket di terima dengan kondisi bagus tapi untuk di pakai seharian membuat sakit di kuping dan baterai lumayan cepat berkurang kalo 2 headsetnya di taroh di tempatnya
bintang 5,Bagus dan nyama di telinga
bintang 2,"Headset rusak sebelah dan gak bisa di tukar, dan tidak sesuai gambar"
bintang 5,mayan sih ini tws kere hore
bintang 4,ok sejauh ini bagus dan berfungsi dengan baik
bintang 5,"harga dan produk nya sesuai, untuk suara bagus dan lumayan untuk sehari2, mudah dibawa dan respon penjual jg cepat..."
bintang 3,saat datang packaging luar terlihat bagus tetapi saat dibuka kotak dari produk ada penyok. Kualitas barang emang tidak terlalu bagus tetapi melihat harganya hal tersebut...
bintang 5,lumayan si harga sama kualitas nya
bintang 5,oke tapi satu yang asatu panas
bintang 5,Bagus Semuanya Trimakasih
bintang 5,packing aman.. rapi lengkap... thanks
bintang 5,kualitas bagus
bintang 5,mantap sangat recomended suaranya ngebass toko nya sangat bisa di percaya pengiriman cepat packing rapih sangat senang beli di toko ini terimakasih sukses selalu
bintang 5,Mantaap
bintang 5,Gausah ngarep lebih. Buat punya²an oke banget
bintang 5,"mantap, barang oke ga ada masalah semua nya.. pengiriman nya pun juga cepat... recommended seller..."
bintang 5,blm dcoba berfungsi apa engga.smg berfungsi.terimakasih mimin
bintang 4,"barang ok bgt, pengiriman juga cepat, packing rapi,, poko ny ok lah bass ny mantep"
bintang 3,"untuk kemasannya bagus pengirimannya cepat respon pelayanannya baik,akan tetapi kualitas barangnya ada sedikit kecacatan/kerusakan. bukannya saya ingin menjatuhkan ataupu..."
bintang 5,Joss barang bagus sesuai
bintang 5,kepaake lah tws nya cukup buat 3 jam
bintang 5,wow
bintang 5,"Seneng bgt dpt promo ga nyangka juga bakal dikirim sesuai pesanan untuk suara bagus disediain karet telinga cadangan,worth it bgt meski ga promo juga"
bintang 5,"Paking aman, penjual'y responsif barang sesuai diskripsi"
bintang 5,good
bintang 5,Yang pasti fast respon dan cepat diterima
bintang 5,Sesuai lah... mudah2an awet
bintang 5,mantaps
bintang 5,"cepet sAmpe,packingan rapih"
bintang 4,"Sesuai harga , kurir gercep ."
bintang 5,barangnya bagus sesuai dengan pesanan
bintang 5,ya sesuai lah dgn harga
bintang 5,"paketnya sdh keterima dgn baik ya,, barang aman. sy suka responnya cercep☺✌👍 barang2nya bagus dgn hrg bersahabat memuaskan. pengiriman sngt cepat. Bang Kurirnya sngt bai..."
bintang 5,terima kasih paket diterima dengan baik sesuai pesanan.
bintang 5,"barang sampai tepat waktu, kemarin order hr ini sampai. suara soft dan nyaman. dock bisa di charge dan menyala. okay, smoga awer."
bintang 5,pengiriman cepat ...👍barang/item oke...👍
bintang 5,"barang ok,pengiriman cepat"
bintang 5,"Gokil, Harga murah tp kualitas ga murahan. awalnya hs bunyi kresek, pas matiin idupin lagi normal. pemakaian full 3jam kurleb nonstop"
bintang 4,alat gak berfungsi.
bintang 5,"barang cepat sampainya, kualitas ok"
bintang 5,Barang oke! Berfungsi dgn baik! Seller proses barang cepat sekali! pesan kemaren besoknya udah sampe! keren! semoga barang awet..🙏
bintang 5,"Barang sesuai kondisi baik & bagus, paket rapi serta aman, Terima kasih"
bintang 5,"nyala 2-2 nya bagus cm saya salah kayanya mau yg sekalian powerbank malah bukan,pdhl diskripsinya sekalian powerbank"
bintang 5,bagus bagus aja semoga bagus bagus aja
bintang 3,"kualitas suara biasa aja, koneksi bluetooth tidak mencakup jarak yg jauh"
bintang 4,"Baterainya saja yang kurang durasinya karena sangat cepat habis, selebihnya oke, san juga suara mantap terutama bagian bassnya terasa. pengirimannya juga cepat, langsung..."
bintang 4,"kardus packaging penyok, barang bagus seusai dengan harga"
bintang 5,"packing aman, barang sesuai gambar dan harga"
bintang 5,sudah dicoba barang bagus batre awet
bintang 5,ok kak mantap cuma packing kurang baik tapi overall good aman kak bisa di cas dan nyala 2²nya gokil lah berfungsi dengan baik sip deh 👍🙏😇
bintang 5,produk sesuai bass mantap next order lagi
bintang 5,"Semua Fitur berfungsi baik, ketahanan batre sejauh ini lumayan untuk harga dikisaran segini..Cuma seperti gores2 tipis dibagian smart display."
bintang 5,seller ok barang ok kurir ok
bintang 5,barang sudah di terima sangat bagus !! sesuai ekspektasi suara nya bagus👍👍
bintang 2,tidak bisa dicharge
bintang 5,barang sesuai deskripsi
bintang 5,"barang datang dengan kondisi yang bagus, barang sesuai pesanan, barang berfungsi dengan baik, terimakasih"
bintang 5,sukaaa banget sama barang dan packing nyaaa!! aman banget banget bangeettt
bintang 4,kardus peok
bintang 5,gambar dengan realita sangat bener puas beli di toko ini
bintang 5,yg penting berfungsi
bintang 5,puas... barangnya bagus...
bintang 5,bagus enak ditelinga pacar saya
bintang 1,Not recommended. yang bisa nyala cuman satu doang. yang satunya nge-charge tapi nggak bisa dipake.
bintang 5,Sesuai Harga........
bintang 4,lumayan..ada harga ada kwalitas
bintang 5,mantap lah barang e
bintang 5,Bagus bgtt sumpah
bintang 1,Buds kanan ga nyala. RUSAK. Baru 2x pakai udah rusak aja. Merugi beli disini 😭😭😭
bintang 5,packing aman barang berfungsi.
bintang 5,menemani sehari hari. batre kuat harga pass
bintang 5,barang sampai dengan aman dan cepat. emang mantap. recommended banget
bintang 5,good job
bintang 5,suaranya ngebass. mantap
bintang 5,walau agak slowres (mungkin lgi rame kali yg beli) tpi barang okay dan Sesuai harga worth sih
bintang 5,Alhamdulillah sudah tiba paketnya semoga berfungsi sebagai mana mestinya ya semoga awet terima kasih
bintang 1,"Tidak bisa di cas bos, ganti kabel jg tidak bisa, barang rusak ini!!"
bintang 4,"barang berfungsi dengan baik ,semoga awet"
bintang 5,"FAST RESPON, FAST DELIVERY, GOOD ATTITUDE. THE BEST SELLER"
bintang 5,alhamdulillah cepat sampai dan sesuai harga
bintang 5,"barang sampe dg selamat,berfungsi dg baik trims semoga awet"
bintang 3,ga nyala 1.jadinya sebelah doank yang bunyi
bintang 5,"pengirimannya cepatt,barangg bagusss"
bintang 5,"alhamdulillah berfungsi dengan baik, pengiriman cukup cepat, kurir ramah&baik.terimakasih seller, kurir& Tokopedia"
bintang 2,"gak sama di foto, rupanya ada keterangan versi s9"
bintang 5,"mayan lah 36 rebu dapet teknologi beginian, bener2 TWS rakyat jelata, mao komplain/ngeluh tentang kualitas audio nya ???? MAKANYA KERJAAAAAAAAAAAA JING BIAR BISA BELI JAB..."
bintang 5,"rda"" ******** si, engsel buat buka casing rawan patah, soalnya ni plastik + sekali dibuka tatakan cas cas an nongol ke atas kek mau cpot, trus lampu sebelahny mati, c..."
bintang 3,"kw ini sesuai harga tapi, kirain bener diskon, soalnya yang sebelumnya f9-5 saya yang ilang keliatan banget bedanya, mulai dari indikator charger ya tipis kalo yang asli..."
bintang 5,Barang Kecil mudah dibawa No delay bagus lah👍
bintang 5,"Packing rapi & aman, barang semua berfungsi dengan baik, untuk suaranya jernih..semoga awet 😁"
bintang 5,"packing rapih,, kualitas suara Oke gak sumber.. seller responsif dan kurir cepat.. thx"
bintang 5,"Bagus, koneksi cepat, battery awet"
bintang 1,barang rusak di kirim
