rating,comment,sentiment,clean_comment
1,"sesuai harga, pasti salah satu ada yg mati ntah kanan ato kiri",negative,sesuai harga salah ada mati ntah kanan kiri
5,sesuai order,positive,sesuai order
4,"packing pengiriman bagus, tapi untuk keadaan barang didalamnya serba terbuka tidak rapi, cek suara good, mic juga ok ga bisa nuntut banyak dilihat dari harga juga, pengis...",positive,packing kirim bagus untuk barang dalam serba buka rapi cek suara bagus mic ok bisa tuntut lihat harga isi
5,"sampai dengan aman, berfungsi dengan baik & sesuai ekspektasi",positive,aman fungsi dengan baik sesuai ekspektasi
5,"bagus, berfungsi",positive,bagus fungsi
5,mantappppp,positive,mantap
5,"pengiriman relatif cepat, barang sampai dengan baik dan berfungsi dengan benar",positive,kirim relatif cepat barang dan fungsi dengan benar
5,sesuai pesanan,positive,sesuai pesan
5,mantap ngegas banget cocok buat game nh,positive,mantap ngegas cocok game
5,"barang sudah diterima dalam keadaan baik,pengiriman cepat, barang sesuai etalase kualitas suara ga kalah sama yg diatas harga ini,suara jelas bass empuk. thanks seller th...",positive,barang terima ada kirim cepat barang sesuai etalase kualitas suara kalah yang atas harga suara bass empuk terima kasih jual
4,"ya emng ada harga ada kualitas,gk bisa protes banyak,tapi untuk harga segini ok lah",positive,memang harga kualitas gak protes tapi harga gin
4,bagus..sesuia,positive,bagus sesuia
5,yap mantap bet kak,positive,yap mantap bet kak
5,mantap amanah tokonya,positive,mantap amanah toko
5,good,positive,bagus
5,"semua berfungsi,,keren,,puas..",positive,fungsi keren puas
5,"packing rapi,aman dah suara juga ngebas bagus",positive,packing rapi aman dah suara ngebass bagus
5,baeang bagus pengriiman cepat,positive,barang bagus kirim cepat
5,"mudah2an awet, thanks",positive,mudah an awet terima kasih
5,keren moga awet,positive,keren moga awet
5,mntp,positive,mantap
5,untuk pengiriman super cepat antara penjual dan kurirnya. semoga barang nya tidak mencewakan,positive,kirim super cepat jual kurir moga barang tidak kecewa
5,"bagus, harga terjangkau",positive,bagus harga jangkau
5,barang sampai dengan selamat dan mulus sukses trus untuk penjualnya,positive,barang dengan selamat mulus sukses trus jual
5,mantapp,positive,mantap
