rating,comment,sentiment
5,mantap nian nih euy,positive
5,"barang ok, pengiriman cepat & selalu update status pengiriman",positive
4,"Untuk headset aman2 saja, cuma box nya pas di buka sedikit rusak",positive
5,lumayan,positive
3,"kemasan pada penyok, untung barang tidak apa2 cuman kardus aja yg penyok",neutral
4,barang bagus,positive
3,"lubang casnya agak miring, jadi harus maksa dikit masukan port pas ngecasnya",neutral
5,"sesuai pesanan, berfungsi dengan baik semoga awet",positive
4,"pengirimanan, sangat Cepat, Barang Biasa ajah. pesan 2 buah dgn barang yg sama. datangnya Material barangnya tdk sama (berbeda bahan). Dus nya udah penyok penyok. saat di...",positive
5,untuk harga segini oke lah. bass masih kurang. pairing stereo sering putus. jarak conecting ga bs terlalu jauh. batre agak cepet habis. kualitas sesuai dengannharga,positive
5,"packing rapi dan kuat, proses kirim cepat, barang berfungsi baik..",positive
5,"Barang sesuai pesanan, proses dan pengiriman cepat, cuma selernya rada lama bales chat mungkin lagi banyak pesanan, barang sudah dicoba dan berfungsi dengan baik. Semoga...",positive
3,"warna,ny tidak sesuai",neutral
3,"Kabel cas micro tidak berfungsi, sisanya aman",neutral
4,"ngebass cokk, gacocok ama kuping gw tapi pasti bakalan cocok ama kuping kalian yg suka suara ngebass A.K.A semberr, vocok buat kuping orang indo yg doyang dangdut tapi ga...",positive
5,Bass nendang Batre lumayan awet,positive
5,"untuk harga segini udah seneng deh kalo bisa berfungsi dengan baik. tap untuk pause n play juga berfungsi, tap untuk naik turunin volume juga berfungsi walau agak sedikit...",positive
5,"Barang sudah saya terima dengan baik, tws nya bagus, suara bass mantap benar kerasa banget volume suara kenceng, gak nyesel pokok nya, semoga awet.",positive
5,manttapppp,positive
5,mantap dah berfungsi semua,positive
5,Good,positive
1,"kualitas barang kurang bagus, casenya susah dibuka dan agak keras, dibuka pun tidak bisa maksimal, cuma terbuka sedikit, seperti ada yang mengganjal di engselnya, lalu lu...",negative
5,baru sampe...semoga awet dan bisa jadi langganan.,positive
5,Sesuai harga,positive
5,"barang bagus, cepat sekali sampe nya... soale pengiriman ok bangett",positive
5,mantap jiwa joss,positive
5,"bagus, ga jeda, tahan 2 hari",positive
3,indikator baterai pada masing² tws tidak berfungsi dengan baik,neutral
5,"Barang sesuai, dan memuaskan, seller juga cepat respon...",positive
5,"Terima kasih, namun ada satu headset yang bagian kiri yang tidak ada suaranya keluar",positive
5,"Buat yang nanya kualitas suaranya bagus ini bagus banget untuk harga segini, untuk batre awet 4 jam. sudah 2/3minggu pemakaian masih awet",positive
4,Aman..berpubgsi,positive
4,mantap,positive
5,"Paket sudah diterima sesuai dengan pesanan, thanks gan",positive
5,barang bagus woryid sih,positive
4,bagus dgn harga murmer,positive
5,lumayannnn,positive
5,berfungsi dengan baik,positive
5,"yah buat harga 30rebu bass-nya standar harga segitu, buat game kaya pubg , ff ga rekomendasi sih delaynya terlalu lama smpe 3 detik",positive
5,asalole,positive
5,"paking rapi , pengirimannya cepat dan kwalitas hand freenya ok banget.",positive
5,"Barang terkirim baik, cepat Hanya saja kualitas memang jelek sesuai harga , yang sebelah kadang ga ngecas pas ditaruh jadi malah otomatis nyambung ke hp terus",positive
5,"packing rapi,,,barang pun aman👍",positive
5,"mantap, barang nya berfungsi, real Pict & fast respond 👍🏻👍🏻",positive
3,"tempat dusnya seperti tidak baru, sama kalau dipakai sering putus² suaranya.",neutral
5,paket dah sampai..paket lengkap dan sesuai.. mudah-mudahan berfungsi dengan baik.. terima kasih.,positive
5,"barang sesuai, paket rapih",positive
4,"barangnya sih ok...tp kenapa yaa kemasan bagian dalamnya ada yg rusak atau bolong, tolong utk sellernya memperhatikan kemasan dalamnya meskipun barangnya oke atau dalam k...",positive
5,"bagus, tqpi masih kk yg m10",positive
5,barang sesuai,positive
5,"ya lumayan, pengiriman baik, packing baik, qualitas barang ya sesuai harga, suara agak sempreng.",positive
5,fast response dari spek di kardus sih udah bluetooth 5. sesuai spek,positive
2,"Barang sudah sampai, tapi TWSnya kanan semua, apa pas pairing tidak dicek lagi?",negative
4,"Barang nya berfungsi dengan baik, sesuai dengan harganya. Cuma packingnya alakadarnya sampai-sampai box nya penyok. Untung aja isinya aman. Diperbaiki lagi buat pelayanan...",positive
5,ok..mntapp...,positive
5,"Pengiriman cepat, pesan sekarang besok sudah sampai, suara jg lumayan meskipun harga murah",positive
4,"paket sudah mendarat masih belum di coba, masih sibuk.. semoga awet 🙏 *4 dulu",positive
5,bagus,positive
5,mantab barang bgus dan berkualitas terimakasih kak,positive
5,"Terima kasih barang sudah diterima, bentuk headset bagus dan koneksi mudab serta suaranya juga nyaman, keduanya berfungsi. Sukses selalu!",positive
5,sesuai tidak mengecawakan,positive
5,bagus next order lagi,positive
5,sudah 1 bulan di pakai baru review. Baterai masih lumayan awet 3 jam an.,positive
5,sesuai dengan gambar dan suaranya bagus,positive
5,"berfungsi dengan baik, semoga bisa bertahan lama, pengiriman juga cepat",positive
5,mantabz barangnya realpict👍,positive
5,"bagus, semoga awet.",positive
5,"Mantafff,sukses trus boss",positive
5,"sesuai pesanan, berfungsi dengan baik",positive
5,Sangat bagus dan murah sekali. highly recommended.,positive
2,"audio delay, suara lumayan, speaker sebelah kiri mode charging lama (indikator merah). Walau yg sebelah kanan sudah penuh, yg kiri tetap menunjukkan mode charging",negative
3,"Kabel chargernya melepuh pas di cas. Bentuknya kegedean juga, gak sesuai sama kuping indonesia.",neutral
5,"Bagus banget, minus kalo jaringan jelek saat main game suara jadi delay",positive
5,keren dan suaranya bagus bgt..,positive
5,****************************************************,positive
5,Produk berkualitas dengan harga terjangkau. Semoga awet.,positive
5,👍👍,positive
3,tidak bisa cara menggunakanya,neutral
5,ok barang sesuai pesanan,positive
5,barang sesuai pesanan,positive
4,Lumayan sesuai harga,positive
4,sesuai dengan harganya lah,positive
5,barang aman all mantap lah,positive
4,"Kedua produk diterima dengan baik. Yang satu berfungsi sempurna. Yang satu lagi, produk diterima dengan tanpa segel plastik, Salah satu earpiece-nya tidak berfungsi, bahk...",positive
5,"packing aman, rapi. tws berfungsi dg baik. suara bagus. semoga awet",positive
5,"terima kasih barang sudah cepat sampai, tapi tahan tidak terlalu lama klo dengar musik, yg kiri seperti nya aga bermasalah sedikit, tapi semoga awet",positive
5,good,positive
4,"Barang Cepat Sampai, Tp Masih bingung Pengoperasiannya..",positive
5,tws sekaligus untuk powerbank bagus banget dan masih menggunakan kabel casan kabel usb belum type c,positive
5,lumayan lah,positive
4,"barang sesuai harga, good lah",positive
4,"packing aman banget. Alhamdulillah. Langsung di cas, setelah angka menunjukkan 100 💯 baru saya coba suaranya enak jernih ya sesuai dg file yg diputar. lumayan sekali lo...",positive
2,"Slot charger eror, gagal charge. harus ditekan pada bagian kuningan charger. overall suara oke. kualitas sesuai harga.",negative
5,"Barang sudah sampai, terima kasih",positive
4,mayanlah buat harga segitu. yg penting ada suaranya..,positive
4,worth it,positive
5,mantap bass nya enak,positive
5,lumayan bagus sesuai harga,positive
5,"bagus coi gak salah beli,",positive
5,"sesuai deskripsi,,barang bagus,murah tapi tidak murahan,,,cocok di hp redmi 10C",positive
3,Sesuai dengan harga gabisa berekspektasi tinggi,neutral
5,packing rap earphone berfungsi dengan baik,positive
5,"maaf baru di buka paketnya, barang bagus sudah di coba ok semua suara lumayanlah untuk harga segitu,tapi ok thanks untuk semua",positive
4,"berfungsi dengan baik , tapi kabel charger nya warna nya kusam kaya bekas",positive
3,"Ya ada harga ada baranglah untuk basss biasa"" aja diharga segitu tapi oklah",neutral
5,pesenan sudah sampai sudah aq coba normal moga awet... terimakasih,positive
5,Barang layak pakai,positive
5,mantap jiwa,positive
3,kalo pengen nge cas harus di tekan dlu tidak langsung tempel headsetnya,neutral
5,"ok lah saya kasih bintang 5, tapi kedepannya tolong buku panduannya harus sesuai dengan benda nya, ini buku panduan kok gak sesuai sih, klo berfungsi Alhamdulillah baik.",positive
5,mantul,positive
5,"barang sampai sesuai, kurir cepat, admin ramah",positive
5,"produk bagus... koneksi cepat, sesuai dengan harga",positive
5,mantabzz,positive
5,berfungsi dengan baik,positive
1,belom seminggu ga bisa si charge sebelah,negative
5,cukup aman u packingnya,positive
4,👍 ok laah,positive
5,"kualitas ok, harga murah",positive
1,"penjual setelah barang sampai dan kita komplen tidak ada tanggapan di chat lampu led hanya nyala sebelah dan hedset kadang nyambung kadang juga kagak, *** emang buang bua...",negative
5,paket headset bluetooth nya sdh Sampek pengiriman cepat blom di coba dan ngga bisa kasih lihat fotonya Krn msh pergi luar kota makasih penjual dan Toko pedia 🙏,positive
5,pesenan sudah sampai sudah aq coba normal moga awet... terimakasih,positive
5,"bagus ga ada delay, lancar, rekomendasi banget buat yang cari tws murah dengan kualitas bagus",positive
5,top,positive
5,"koneksinya per headset, jadi di HP ada 2 BT dan bisa dijoinkan klo mau dipakai ke 2 nya. utk kwalitas suara sdh cukup lumayan... 👍👍👍",positive
5,headsetnya bagus untung sampai dengan selamat tapi saat tb Di Sini kardus Dan Packaging nya Kurang Baik Itu aja sih makasih,positive
5,suara okelah..... untuk harga segini worth it lah yah,positive
4,sesuai harga ringkih,positive
5,berfungsi semoga awet,positive
5,bass ok suara ok,positive
4,"not bad lah , sesuai harga",positive
1,"Salah satu earphone nya menganga. Barang masih berfungsi. Pada saat unboxing tidak membuat video, sehingga komplain di tolak.",negative
5,"barang ok,pengiriman cepat",positive
5,lumayanlah,positive
5,bagus....nyala semua .harga murmer udah dapet tws canggih....semoga awet deh.,positive
5,berpungsi baik semoga awet,positive
1,"suara ny d luar expetasi..... ber hrap bass ny bgus,trnyta zonkkkkkkkk",negative
5,barang bagus sesuai sama harganya 👍🏻,positive
5,seneng banget pesanan nya udah datang dan cepet banget sampai nya 😆,positive
5,mantap dapet discount.. brg ok bertungsu dgn baik,positive
5,barang sudan didterima,positive
5,"type bluetooth bukan F9, dan ini bukan produk original, dulu pernah beli yg ori beda ama yg ini",positive
5,"Packing aman. Baterai tahan lama. Ada slot usb untuk output, sepertinya bisa untuk power bank? Suara OK",positive
5,mantap,positive
1,"cable usb tdk bs koneksi ke wireless headset, buka boks wireless susah",negative
5,"alhamdulillah berang udah nyampe dan pengirimannya cepat ,belum di coba sih",positive
4,"barang bagus, respon penjual kurang baik",positive
4,"packing sedikit penyok, tp gpp masih berfungsi dengan baik. cukup worth it dengan soalnya dapat diskon jadi 6k aja wkwk",positive
5,Barang sampai tujuan sesuai estimasi,positive
5,puas bagus barang ya,positive
5,"packingnya rapi bangett , barangnya juga okee 🐰🐰🐰",positive
5,wireless headset luar biasa bagus banget suaranya ngebaaasss .. jernihnya suara dalam telinga ku tokonya amanah.. terimakasih and kurirnya... terimakasih bang..and tak lu...,positive
5,"bgs jg lmyn lah dgn hrg segitu yg ptg tws bs dngr music, main game dan tlpan tq",positive
5,Nyampenya cepet barang ok gaada kendala,positive
4,kaget saya kira headset nya mati sebelah ternyata cuma bisa di pakai satu aja,positive
5,mantab pengiriman cepat..kualitas suara bass nya ada..top lah sesuai harga dan ga kecewa,positive
5,"not bad, semoga awet",positive
1,barang rusak. gk bisa di cas.,negative
5,"sesuai ekspektasi ni gaesss... pengiriman luar biasa sehari sampe, tp pilih ongkir regular hehehhe.. liat sendiri fotonya.. rekomendasi gaess...",positive
5,"barang sesuai dengan display yang ditampilkan, kualitas suara bagus sesuai dengan harganya, memuaskan dah 👍",positive
4,bass nya agak kurang,positive
5,Berfungsi dengan baik,positive
5,Paket sudah sampai dan dikemas dengan baik. Terima kasih,positive
5,brang sdh sampai.. kiriman nya cepat. produk sesuai.. so far so good,positive
1,"Earphone yang sebelah kanan ga nyala, dicas pun trs aja merah kek gitu dari malem Ampe siang. Nyesel bgt!!! mana pelayanan admin nya buruk bgt!!! lain kali pikir pikir lg...",negative
5,mantap aman terpercaya,positive
5,"mau mengomentari bagaimana nyatanya dpt harga murah dg kupon,tp klo bayar normal agak kecewa sih,kanan kiri tidak bisa bunyi bersamaan harus sendiri2.",positive
1,ear bluetooth yg seblh kanan tdk berfungsi saya kecewa,negative
5,ok,positive
5,mantap,positive
5,"barang bagus, semoga awet barangnya gan..",positive
5,mantap,positive
5,seller gokil sih....produk bagus berfungsi semua....hrg murah...ceept sampe,positive
5,pengirimannya cepat,positive
5,"pengiriman cpt, smpai jg cepat dan amazwoww.. barangnya keyen bgtt sesui dgn kebutuhan sy hrga disc afgann keren pokoknya happy olshop😍",positive
5,"kualitas y mantep banget, Alhamdulillah awet.",positive
5,"packing aman, barang berfungsi dengan baik. udah bberapa kali beli disini amanah sesuai pesanan.",positive
5,BAGUS,positive
5,"Barang sudah sampai, terima kasih",positive
4,kemasan penyok penyok tpi secara keseluruhan okei kaarna sesuai dengan harganya,positive
5,barang bagus pengirimannya ampun,positive
5,barang oke,positive
5,"Nyaman di pakai, dan suara yang dihasilkan OK",positive
4,lumayan untuk harga segitu,positive
4,berfungsi sebagaimana mestinya.murah meriah oi🤪,positive
5,"Terimakasih baru pertama kali beli di Tokopedia ini,dan barang yang datang sesuai sama pict dan gk ada yg rusak. Makasih sekali buat penjualnya sukses trus",positive
4,Produk bekerja dengan baik. Pengiriman sesuai estimasi. Murah abes! Cuma kurang di buds kiri magnetnya kebalik jd harus diganjel pas ngecharge.,positive
5,"sangat baik, cepat. lebih bagus dalam bass daripada vokal suara, buat jedag-jedug makin mantap",positive
2,kualitas lumayan..,negative
5,"barang oke, respon cepat",positive
5,"Setelah pemakaian sebulan, barangnya masih oke dan kualitas suaranya masih bagus, tapi daya tahan baterai nggak terlalu awet, pemakaian 3-4 jam langsung habis... selebihn...",positive
5,packing nya aman dan barang baik baik saja,positive
3,baru berapa kali dipake eh senggol sedikit langsung lepas,neutral
5,ok,positive
5,"barang sesuai👍, semoga awet",positive
5,murah tapi berkelas klau pakai 2nya bas baru muncul dan terasa nyaman di telinga 2jam pakai nonton,positive
5,bagus bagus... cuman penyok tp gpp lah mungkin waktu kirimnya,positive
5,packing bagus dan kualitas barang untuk tws oke,positive
4,bagus,positive
1,"sesuai harga, pasti salah satu ada yg mati ntah kanan ato kiri",negative
5,sesuai order,positive
4,"packing pengiriman bagus, tapi untuk keadaan barang didalamnya serba terbuka tidak rapi, cek suara good, mic juga ok ga bisa nuntut banyak dilihat dari harga juga, pengis...",positive
5,"Sampai dengan aman, berfungsi dengan baik & sesuai ekspektasi",positive
5,"bagus, berfungsi",positive
5,mantappppp,positive
5,"pengiriman relatif cepat, barang sampai dengan baik dan berfungsi dengan benar",positive
5,sesuai pesanan,positive
5,mantap ngegas banget cocok buat game nh,positive
5,"Barang sudah diterima dalam keadaan baik,pengiriman cepat, Barang sesuai Etalase Kualitas Suara ga kalah sama yg Diatas harga ini,Suara jelas Bass empuk. Thanks Seller th...",positive
4,"ya emng ada harga ada kualitas,GK bisa protes banyak,tapi untuk harga segini ok lah",positive
4,bagus..sesuia,positive
5,yap mantap bet kak,positive
5,mantap amanah tokonya,positive
5,Good,positive
5,"semua berfungsi,,keren,,puas..",positive
5,"packing rapi,aman dah suara juga ngebas bagus",positive
5,baeang bagus pengriiman cepat,positive
5,"Mudah2an awet, thanks",positive
5,keren moga awet,positive
5,mntp,positive
5,untuk pengiriman super cepat antara penjual dan kurirnya. semoga barang nya tidak mencewakan,positive
5,"bagus, harga terjangkau",positive
5,barang sampai dengan selamat dan mulus sukses trus untuk penjualnya,positive
5,Mantapp,positive
5,sesuai ekspektasi,positive
5,Aman ditempat,positive
5,senang sekali..bagus bgt.bisa power bank.blutut.suara jrrnih..banyak fungsinya..sy dari sby..barang aman trrkendali,positive
5,"berfungsi dengan baik ,suaranya jernih ,bass lumayan ,packing aman pakai bubblewarp walau ga terlalu tebal ,lumayan buat harga segitu mah , thanks udah dikirim 👍",positive
5,value for the money! tapi tetep nggak nyangka untuk harga segitu decent quality banget,positive
5,good,positive
5,"BARANG SUDAH SESUAI PESANAN,TERIMA KASIH",positive
5,cepet buanget sampenya kualitas ok berfungsi dgn baik suara jernih harga terjangkau sukses trus ya,positive
5,Mantap jiwa.. cepat sampenya,positive
5,"barang bagus, pengiriman cepat. saller top",positive
4,lumayan lah,positive
5,"bagus barangnya sudah sampai, dan setelah saya coba awalnya ngiranya satunya rusak tidak ada suaranya, ternyata tinggal ngikutin kertas panduannya sudah selesai masalahny...",positive
5,bagus bgt makasih,positive
5,pengiriman cepat . manteps,positive
5,"barang nya berfungsi dengan baik tidak ada rusak, packing rapih untuk tws nya suaranya jernih di harga segitu, trs pas di kuping, jadi klo di pake buat dengerin lagu di j...",positive
4,"Berfungsi dg baik,tp yg kirinya kecil suaranya kl dicas goyang2…yg dipesan f9-5.1 yg datang f9 aja…tdk sesuai",positive
5,bagus,positive
5,"packing aman rapi, tws berfungsi dengan baik, terimakasih seller dan tokopedia",positive
1,"M90 SEBELAH ERROR. GK BISA PAIRING, HIDUP MATI HIDUP MATI. ERROR KAKKKK!!!!",negative
5,bagus,positive
5,lumayan,positive
5,mantappppl,positive
5,berfungsi dengan baik sayang boros baterai but its okay,positive
5,"Alhamdulillah pengiriman cepat, semua fitur berfungsi dengan baik, kualitas sesuai harga, puas dengan barangnya, semoga awet dan gak ada masalah, respon chat juga cepat d...",positive
5,"packing bagus, kualitas oke, tapi indikator charger cepet banget nguranginya",positive
1,headset sebelah kiri tidak berfungsi/tidak ada suara,negative
5,sesuai dengan harga.. semua berfungsi dengan baik tp battery cepat habis,positive
5,sesuai pesanan recommended seller cepat sampai packing rapi,positive
5,Berfungsi dgn baik. Terima kasih,positive
4,paket di terima dengan kondisi bagus tapi untuk di pakai seharian membuat sakit di kuping dan baterai lumayan cepat berkurang kalo 2 headsetnya di taroh di tempatnya,positive
5,Bagus dan nyama di telinga,positive
2,"Headset rusak sebelah dan gak bisa di tukar, dan tidak sesuai gambar",negative
5,mayan sih ini tws kere hore,positive
4,ok sejauh ini bagus dan berfungsi dengan baik,positive
5,"harga dan produk nya sesuai, untuk suara bagus dan lumayan untuk sehari2, mudah dibawa dan respon penjual jg cepat...",positive
3,saat datang packaging luar terlihat bagus tetapi saat dibuka kotak dari produk ada penyok. Kualitas barang emang tidak terlalu bagus tetapi melihat harganya hal tersebut...,neutral
5,lumayan si harga sama kualitas nya,positive
5,oke tapi satu yang asatu panas,positive
5,Bagus Semuanya Trimakasih,positive
5,packing aman.. rapi lengkap... thanks,positive
5,kualitas bagus,positive
5,mantap sangat recomended suaranya ngebass toko nya sangat bisa di percaya pengiriman cepat packing rapih sangat senang beli di toko ini terimakasih sukses selalu,positive
5,Mantaap,positive
5,Gausah ngarep lebih. Buat punya²an oke banget,positive
5,"mantap, barang oke ga ada masalah semua nya.. pengiriman nya pun juga cepat... recommended seller...",positive
5,blm dcoba berfungsi apa engga.smg berfungsi.terimakasih mimin,positive
4,"barang ok bgt, pengiriman juga cepat, packing rapi,, poko ny ok lah bass ny mantep",positive
3,"untuk kemasannya bagus pengirimannya cepat respon pelayanannya baik,akan tetapi kualitas barangnya ada sedikit kecacatan/kerusakan. bukannya saya ingin menjatuhkan ataupu...",neutral
5,Joss barang bagus sesuai,positive
5,kepaake lah tws nya cukup buat 3 jam,positive
5,wow,positive
5,"Seneng bgt dpt promo ga nyangka juga bakal dikirim sesuai pesanan untuk suara bagus disediain karet telinga cadangan,worth it bgt meski ga promo juga",positive
5,"Paking aman, penjual'y responsif barang sesuai diskripsi",positive
5,good,positive
5,Yang pasti fast respon dan cepat diterima,positive
5,Sesuai lah... mudah2an awet,positive
5,mantaps,positive
5,"cepet sAmpe,packingan rapih",positive
4,"Sesuai harga , kurir gercep .",positive
5,barangnya bagus sesuai dengan pesanan,positive
5,ya sesuai lah dgn harga,positive
5,"paketnya sdh keterima dgn baik ya,, barang aman. sy suka responnya cercep☺✌👍 barang2nya bagus dgn hrg bersahabat memuaskan. pengiriman sngt cepat. Bang Kurirnya sngt bai...",positive
5,terima kasih paket diterima dengan baik sesuai pesanan.,positive
5,"barang sampai tepat waktu, kemarin order hr ini sampai. suara soft dan nyaman. dock bisa di charge dan menyala. okay, smoga awer.",positive
5,pengiriman cepat ...👍barang/item oke...👍,positive
5,"barang ok,pengiriman cepat",positive
5,"Gokil, Harga murah tp kualitas ga murahan. awalnya hs bunyi kresek, pas matiin idupin lagi normal. pemakaian full 3jam kurleb nonstop",positive
4,alat gak berfungsi.,positive
5,"barang cepat sampainya, kualitas ok",positive
5,Barang oke! Berfungsi dgn baik! Seller proses barang cepat sekali! pesan kemaren besoknya udah sampe! keren! semoga barang awet..🙏,positive
5,"Barang sesuai kondisi baik & bagus, paket rapi serta aman, Terima kasih",positive
5,"nyala 2-2 nya bagus cm saya salah kayanya mau yg sekalian powerbank malah bukan,pdhl diskripsinya sekalian powerbank",positive
5,bagus bagus aja semoga bagus bagus aja,positive
3,"kualitas suara biasa aja, koneksi bluetooth tidak mencakup jarak yg jauh",neutral
4,"Baterainya saja yang kurang durasinya karena sangat cepat habis, selebihnya oke, san juga suara mantap terutama bagian bassnya terasa. pengirimannya juga cepat, langsung...",positive
4,"kardus packaging penyok, barang bagus seusai dengan harga",positive
5,"packing aman, barang sesuai gambar dan harga",positive
5,sudah dicoba barang bagus batre awet,positive
5,ok kak mantap cuma packing kurang baik tapi overall good aman kak bisa di cas dan nyala 2²nya gokil lah berfungsi dengan baik sip deh 👍🙏😇,positive
5,produk sesuai bass mantap next order lagi,positive
5,"Semua Fitur berfungsi baik, ketahanan batre sejauh ini lumayan untuk harga dikisaran segini..Cuma seperti gores2 tipis dibagian smart display.",positive
5,seller ok barang ok kurir ok,positive
5,barang sudah di terima sangat bagus !! sesuai ekspektasi suara nya bagus👍👍,positive
2,tidak bisa dicharge,negative
5,barang sesuai deskripsi,positive
5,"barang datang dengan kondisi yang bagus, barang sesuai pesanan, barang berfungsi dengan baik, terimakasih",positive
5,sukaaa banget sama barang dan packing nyaaa!! aman banget banget bangeettt,positive
4,kardus peok,positive
5,gambar dengan realita sangat bener puas beli di toko ini,positive
5,yg penting berfungsi,positive
5,puas... barangnya bagus...,positive
5,bagus enak ditelinga pacar saya,positive
1,Not recommended. yang bisa nyala cuman satu doang. yang satunya nge-charge tapi nggak bisa dipake.,negative
5,Sesuai Harga........,positive
4,lumayan..ada harga ada kwalitas,positive
5,mantap lah barang e,positive
5,Bagus bgtt sumpah,positive
1,Buds kanan ga nyala. RUSAK. Baru 2x pakai udah rusak aja. Merugi beli disini 😭😭😭,negative
5,packing aman barang berfungsi.,positive
5,menemani sehari hari. batre kuat harga pass,positive
5,barang sampai dengan aman dan cepat. emang mantap. recommended banget,positive
5,good job,positive
5,suaranya ngebass. mantap,positive
5,walau agak slowres (mungkin lgi rame kali yg beli) tpi barang okay dan Sesuai harga worth sih,positive
5,Alhamdulillah sudah tiba paketnya semoga berfungsi sebagai mana mestinya ya semoga awet terima kasih,positive
1,"Tidak bisa di cas bos, ganti kabel jg tidak bisa, barang rusak ini!!",negative
4,"barang berfungsi dengan baik ,semoga awet",positive
5,"FAST RESPON, FAST DELIVERY, GOOD ATTITUDE. THE BEST SELLER",positive
5,alhamdulillah cepat sampai dan sesuai harga,positive
5,"barang sampe dg selamat,berfungsi dg baik trims semoga awet",positive
3,ga nyala 1.jadinya sebelah doank yang bunyi,neutral
5,"pengirimannya cepatt,barangg bagusss",positive
5,"alhamdulillah berfungsi dengan baik, pengiriman cukup cepat, kurir ramah&baik.terimakasih seller, kurir& Tokopedia",positive
2,"gak sama di foto, rupanya ada keterangan versi s9",negative
5,"mayan lah 36 rebu dapet teknologi beginian, bener2 TWS rakyat jelata, mao komplain/ngeluh tentang kualitas audio nya ???? MAKANYA KERJAAAAAAAAAAAA JING BIAR BISA BELI JAB...",positive
5,"rda"" ******** si, engsel buat buka casing rawan patah, soalnya ni plastik + sekali dibuka tatakan cas cas an nongol ke atas kek mau cpot, trus lampu sebelahny mati, c...",positive
3,"kw ini sesuai harga tapi, kirain bener diskon, soalnya yang sebelumnya f9-5 saya yang ilang keliatan banget bedanya, mulai dari indikator charger ya tipis kalo yang asli...",neutral
5,Barang Kecil mudah dibawa No delay bagus lah👍,positive
5,"Packing rapi & aman, barang semua berfungsi dengan baik, untuk suaranya jernih..semoga awet 😁",positive
5,"packing rapih,, kualitas suara Oke gak sumber.. seller responsif dan kurir cepat.. thx",positive
5,"Bagus, koneksi cepat, battery awet",positive
1,barang rusak di kirim,negative
5,"barang sudah sampe sesuai pesanan, dicoba suaranya joos makasih gan",positive
5,"untuk harga segini,sangat worth it,suara lumayan bagus,bassnya kerasa.mantabss",positive
5,headaetnya mantappp 🤩,positive
3,yang sebelah kiri rusak tapi gpp karna baru saya buka setelah 1 minggu,neutral
5,Bagus,positive
5,"Silakan Belanja di toko ini , Semuanya ok",positive
5,"Barang sesuai dengan pesanan,",positive
5,mantap,positive
5,packing rapi biarpun terlalu tipis.overall good stuff,positive
3,BARANG RUSAK 1,neutral
5,Alhamdulillah mantappp cuma kurang dikitttt dri Bass ny ajhh Untuk keseluruhan Yesss ✨✨✨,positive
