text,sentiment
bagus suara bagus,positive
barang mudah bawa mudah jual super ramah,positive
tidak nyala,neutral
maaf telat kasih ulas buka belum coba,positive
sesuai mudah an awet,positive
bagus kirim sesuai belah kanan connectkan bunyi nging nging menggangu sukses,neutral
beli fungsi baik,positive
bagus,positive
barang oke,positive
sesuai harga,positive
barang original fungsi baik,positive
barang terima baik bagus fungsi baik deskripsi testing jarak meter fungsi bagus terima kasih,positive
barang ok cuman mic nya gadak harga harga segitu mic ponsel ku oke redmi note nih bos senggol,positive
ok mantap saking mantap nya pinjam kawan tidak kawan tidak da akhlak,positive
mantap,positive
produk sesuai gambar bisa baik oke moga awet sukses toko terima kasih,positive
mantap bos,positive
toko baik,positive
biar tidak ribet kabel tws bisa alternatif kualitas suara masuk lumayan harga gin coba pakai jam baterai kuat iri,positive
barang mantap fungsi terima kasih tokopedia,positive
barang lumayan bagus sesuai gambar,positive
yap mantap bet kak,positive
bisa powerbank nelpon enak tidak tllu bising,positive
packing aman fungsi baik,positive
mantap,positive
headsetnya eror kakak maaf,neutral
suara mantap barang sesuai gambar kirim lumayan cepat packing baterai moga awet tidak gampang drop,positive
maaf min kasih ulas ad pesnan kost kurir nya ad hubung emas rapi kirim cepat recomended nieh toko aja nya,positive
coba fungsi baik sayang udah beli bubble bungkus bungkus kirain tebal,positive
terima kasih tws keren,positive
baik poko,positive
bagus fungsi baik,positive
harga jangkau jual responsif,positive
soundnya bagus,positive
lumayan harga segitu,positive
mantap,positive
terima kasih barang cepat tahan tidak kalo dengar musik kiri nya moga awet,positive
keren si harga murah fungsi,positive
puas tws harga minim tws standar,positive
cocok pas,positive
mati belah sesuai harga sih belum cek kualitas suara tidak sih,neutral
barang aman,positive
fungsi baik,positive
packing nya aman sesuai estimasi nya sesuai deskripsi suara nya oke buku pandu nya moga bisa tahan,positive
produk fungsi baik desain nyaman terima kasih,positive
disambungin patah suara stabil overal oke saran beli tambahin aplikasi booster volume,positive
bagus kirim cepat harga harga gin nyaman pas dipake,positive
headset kanan kiri tidak connect ponsel salah suara nya kanan kiri dicharge full,negative
bagus udah moga awet,positive
packingnya,neutral
barang oke produk sesuai deskripsi kirim lumayan cepat admin respon cepat,positive
barang slmt,positive
simple pas pakai telp,positive
barang oke fungsi baik,positive
ok kasih bintang buku pandu sesuai benda nya buku pandu kok tidak sesuai sih kalo fungsi alhamdulillah baik,positive
lucu ribu tws nyata kerja fiturnya kayak tombol sentuh kadang ganggu pencet masuk google oke bentuk,positive
alhamdulillah barang bagus alam belanja toko tumben beli headset bluetooth butuh ajar dik bisa hubung terima kasih,positive
suara gemeresik,positive
jujur percaya review youtube percaya tidak sangka nyata suara bagus si deh liat awet,positive
ok fungsi,positive
pesan hitam putih,positive
batang sesuai deskripsi bagus,positive
headset belah kiri cocok masuk telinga ganti ukur bagus,positive
barang cepat,positive
emas lihat bagus buka kotak produk penyok kualitas barang tidak bagus lihat harga,neutral
packing nya mantap kualitss suara lumayan bagus sesuai,positive
layan oke transaksi langsung proses kirim cepat produk sesuai deskripsi belum coba,positive
sesuai ekspektasi gaesss kirim pilih ongkir reguler hehehhe liat foto rekomendasi gaess,positive
produk sesuai deskripsi barang fungsi baik oke kirim standar,positive
harga kualitas harga gin pakai kasual gamer berekspektasi kualitas oke yap dil,positive
barang aman tuju tidak cacat moga awet belum,positive
baik jual,positive
kejut headset nya mati belah nyata bisa pakai aja,positive
respon jual cepat best jual,positive
mantap,positive
sesuai pesan pesan cepat,positive
mantap sih harga segitu harga,positive
barang bagus packingnya rapih bos penyok tidak barang tuju,positive
ok deh tidak percaya coba aja,positive
aja,neutral
bagus bisa baik enak pakai suara bagus,positive
mantap deh barang foto moga laris manis,positive
bagus audio,positive
ok mantap,positive
nyala senen kemis mati dah kek salah,negative
barang sesuai pesan toko amanah rekomended belanja terima kasih,positive
jual gokil sih produk bagus fungsi harga murah ceept,positive
anjing kagak bisa nyala belah pencet batal komplain,negative
barang bagus suka bagus job,positive
barang bagus fisik sesuai harga moga fungsi harap belum tes layan super baik super respon super cepat layak bintang,positive
pas pakai suara kada hidup kadang mati cas harga tidak bohong,negative
fungsi baik harga segitu sangaattt muas belum uji tahan baterai meeting online semo,positive
murah tidak murah mantap,positive
unit terima fungsi baik bass nya bagus treble imbang sanagat recomended terima kasih jual tokopedia,positive
keren pesan sesuai,positive
suara nya ekspektasi ber harap bass nya bagus trnyta jelek,negative
moga awet senang tiasa,positive
ngeriiiiiiii,positive
tangan baik jual,positive
terima kasih kali beli tokopedia barang sesuai gambar gak rusak terima kasih jual sukses trus,positive
baik bass nya asa,positive
alhamdulillh fungsi mesti terimksh,positive
cuman hidup,negative
mantap bos qu barang nya oke fungsi baik suara jernih bass oke mantap,positive
belah kiri baterai tidak bagus kiri diskonek peer nya kanan cmn kanan dengar,neutral
bagus barang packing nya bagus,positive
tidak foto rupa terang versi,negative
suara kresek,neutral
mantap cuy paket selamat dus nya penyok alhamdulillah gak rusa,positive
barang kotak nya doang tidak amanah toko sesal belanja,negative
headset bluetooth nya warna abu order warna hitam belah tidak fungsi,negative
kemas penyok penyok oke sesuai harga,positive
lumayan harga ribu,neutral
fungsi sesuai harga,positive
terkadang koneksi headset kiri kanan baik suara terkadang hilang sorry kaki liat,positive
suka putus putus jaring,neutral
terima kasih barang kualitas,positive
ok,positive
barang selamat kardus penyok isi mudh an tidk,neutral
kualitas suara aja headset pinzy kabel bass nya tidak deep jelek kadang belah suka keresek udah beli tidak bisa retur,negative
proaktif jual nya,neutral
bass nya kejut harga gin material nya asa plastik wajar tws harga ribu,positive
fungsi baik bahan kualitas jual cepat tanggap,positive
fungsi baik suara bass nya nendang moga awet bos ku terima kasih,positive
mantap,positive
packing bagus kualitas oke indikator charger cepat nguranginya,positive
harga sentuh screen fungsi baik pause sentuh next song previous gg,positive
mantap,positive
packing bubble bungkus headset indikator charging nya tidak nyala trus kadang kadang suara ubah ubah kadang mono kadang stereo kadang delay kiri ka,neutral
barang dikit nyata unyu unyu bagus suara bergungsi baik moga aja baterai awet ngojek,positive
barang bagus,positive
kualitas lumayan,negative
reapon cepat cepat moga awet belum coba terima kasih,positive
produk bagus,positive
kerja normal direset biar earbudnya nyambung kurir payah tidak hubung,positive
barang bagu,positive
harga kualitas lhaaa but bagus liat awet baterai nya ajaa hihihiii,positive
barang layak pakai,positive
so goodlah harga segitu,positive
beli kali harga murah bagus fungsi baik moga awet,positive
sesuai deskripsi produk,positive
bagus baterai awet tidak cepat abis,positive
barang terima suara bagus bikin anak senang,positive
maaf telat ulas produk mantap fungsi baik murah tidak murah terima kasih,positive
alhamdulillah aman moga awet,positive
keren,positive
respon jual cepat barang ok sesuai deskripsi mantap bagus jual,positive
kualitas bagus,positive
mantuulll,positive
bass oke suara mantap harga oke,positive
bagus rumaya sesuai harga,positive
barang sesuai kirim,positive
harga gin oke bass stereo putus jarak hubung tidak bisa baterai cepat habis kualitas sesuai dengannharga,positive
fungsi baik all is worked kualitas suara sesuai harga,positive
harga kualitas ekspektasimu mending beli branded btw barang terima belah kiri mati nyambung,positive
barang selamat harga baik kelas suara hasil sesuai ekspektasi,positive
jual nya sat set kurir langsung on poin the best,positive
packingnya bagus kualitas tws lumayan foto asli tidak sesuai gambar,positive
oesan f model harga lenih murah kali teliti belum kirim aju komplain ribet,negative
mantap,positive
iya bagus boss aman kirim cepat thnks bos ku,positive
suara nya lumayan bagus ngebass suara,positive
suara delay tidak kirain powebank ponsel nyata tidak bisa,negative
bagus harga segitu murah jual responnya cepat bagus recomended resselernya,positive
fungsi baik,positive
keren barang fungsi baik nyaman pakai,positive
respon lambat pesan tidak sesuai gambar deskripsi hitam putih konfirmasi barang lambat bahan tidak sesuai,negative
headset bagus fungsi baik moga awet,positive
packing rapi fungsi baik,positive
terima kasih jual baran ki terima baik aman dna fungsi moga tetpa lancar da sukses,positive
packing tidak bungkus dus bungkus plastik bubble wrap hadiah moga fungsi baik nerima suka suka terima kasih jual,positive
lumayan bagus sesuai harga,positive
barang bagus sesuai pesan,positive
ok nama kok bukan bisa sih lumayan tidak putus earbud nya lubang telinga tidak pegang,positive
alhamdulillah normal tidak kaya belum,positive
terima tidak balance bisa bongkar nyata driver geser lubang days baterai batas worthed harga serius pakai,positive
peking aman baterai power bank tidak tahan,positive
barang original suara jernih nyaman pakai desain modern kirim respon jual cepat,positive
packing aman barang mulus pas dipake mutar musik suara putus putus,positive
suara lumayan pas harga baterai durable bisa pake jam an,positive
bagus,positive
barang bagus fungsi normal emm tidak minus sih,positive
mantap,positive
pakai tidak mati,negative
tidak sesuai gambar kualitas baik harga jangkau,positive
fungsi baik belum coba telpon,positive
mantap,positive
packingnya aman barang sesuai fungsi baik,positive
suara mantap,positive
barang nya bagus suara baik harga nya,positive
sesuai deskripsi fungsi baik proses kirim cepat terima kasih jual tokopedia,positive
barang cepat bingung operasi,positive
paket terima sesuai pesan terima kasih juragan,positive
alhamdulillah mantap bass nya aja iya,positive
sesuai pesan emas mantap sukses jual,positive
bass nya,positive
mantap,positive
harga jangkau kualitas sesuai harga lumayan harga standar kualitas standar,positive
sesuai harga fungsi baik,positive
packing aman rapih suara bagus tidak rusak,positive
mantap ngegas cocok game,positive
gue kasih bintang packing barang bagus potensi rusak ekspedisi kalo urus barang gaada problem suara bagus,positive
suara headset nya bagus nyaman bentuk nya kalo pake lumayan sakit,positive
tidak sesuai pesan beda tipe beli bbm ecer kalo,positive
kualitas bagus,positive
keren pokok cobain,positive
dengar enak music,negative
bagus keren suara main tidak pecah,positive
bass nya sisa mantap,positive
tidak bad,positive
nyaman digunain gak sakit kuping,positive
lumayan harga segitu,positive
fungsi baik,positive
tidak komplain,positive
mantap bass nya enak,positive
fungsi baik kasih bintang coba,positive
baguuuuus,positive
darat aman barang sesuai pesa kualitas sesuai harga,positive
earbud kiri tidak nyala,negative
coba bagus moga awet,positive
jual cepat respon kualitas prod bagus kirim cepat barang aman maaf tidak foto belum rumah terima kasih jual kurir tokopedia,positive
murah kualitas bagus knp,positive
bagus tidak rusak,positive
barang hilang kirim sungguh mngecewakan,negative
pesan terima terima kasih,positive
bagus sesuai pesan puasssssss,positive
bagus next order,positive
fungsi baik sesuai ekspektasi moga awet,positive
mantap,positive
barang sesuai pesan,positive
bagus barang bukan abal,positive
suara greget,neutral
ok terima kasih,positive
warna tidak sesuai gambar,neutral
barang bagus kirim cepat,positive
mantap bagus,positive
suara nya lantang bagus jual nya ramah cepat respon original si terima kasih ka,positive
kali dipake senggol langsung lepas,neutral
bagus tidak chargernya ngecharge,positive
iya,positive
lumayan,positive
naise,positive
rusak belah tws hidup belah kiri tidak suara belah kanan suara,neutral
fungsi baik,positive
packing mantap aman poko,positive
mantap,positive
mantap bagus,positive
alhamdulillah puas baterai urang awet mantaplh harg gin,positive
fungsi baik kualitas suara mantap,positive
headset kanan tidak hidup bisa suara lumayan bagus,positive
keren,positive
bintang gara colok charge nya angkat tidak suara bagus jernih nge bass dikit,positive
ok,positive
suara lumayan mantap,positive
alhamdulillah barang fungsi baik kualitas sesuai harga moga awet,positive
ok,positive
lumayan,positive
dus penyok twsnya belah kanan tidak bisa tap click belah kiri,positive
fungsi baik kabel charger nya warna nya kusam kaya bekas,positive
barang ok,positive
produk ok jual ok,positive
packing kirim bagus barang serba buka tidak rapi cek suara bagus mic ok tidak bisa tuntut lihat harga isi,positive
suara jernih pokok suka,positive
mantap murah uang barang,negative
barang lihat nya normal belum coba suara tahan nya moga awet harga relatif jangkau gin,positive
mantap terima kasih juragan,positive
barang aman coba hasil wahh,positive
warna udah kanan buka quality kontrol nya gws dah barang rusak acc,neutral
headsetnya nya mati,negative
kualitas barang bagus bungkus susah buka keras buka tidak bisa maksimal buka ganjal engsel lu,negative
pes tidak sesuai kirim,negative
terima kasih terima coba,positive
tidak bisa dicharge,negative
mantap cuman respon chat kirim lambat,positive
barang sesuai,positive
mantap,positive
kerenn packing nya rada penyok dikit wkwkwke,positive
suara ok nyaman pakai kualitas mantap,positive
lumayan bass nya,positive
produk kualitas suara ngk jelek aman rekomendit low budget,positive
fungsi baik kiri suara cas goyang pes f aja tidak sesuai,positive
barang sesuai pesan full bubble bungkus kotak penyok headsetnya tidak kambar fungsi baik,positive
harga jangkau,positive
sesuai harga,positive
suara ok model ok kualitas ok koneksi ok materil ok over all ok murah bukan murah toppp,positive
this wireless is so harga the harga of the function and sound quality is baik bagus,positive
barang bagus,positive
alhamdulillah paket moga fungsi mesti moga awet terima kasih,positive
tidak bisa pakai barang rusak,neutral
kirim cepat rapih,positive
puas bet pake nya suara bet,positive
puas suara bagus jernih beli,positive
pakai kiri nya suara samar samar trus hilang pakai gak gak tindih si twsnya,negative
fitur fungsi baik bass gokil bet paten dah,positive
lumayan harga,positive
pokok serba bagus baik barang layan jual,positive
mantap barang nya bagus packing nya aman rapih kirim nya lumayan cepat,positive
barang bagus sesuai pesan,positive
lumayan harga kualitas,positive
kirim super cepat jual kurir moga barang nya tidak kecewa,positive
beli pasang normal mati belah,positive
cepat,positive
kasih dl belum dipake full so suara mantap terima kasih,positive
barang ok kirim cepat,positive
ok sesuai pesan moga awet,positive
wow cakep kerja juragan lecet dikit gag sih jalan,positive
head set mati belah cas bisa suara tidak,negative
suara ngebass mantap,positive
sesuai harga sihh mantap,positive
mantap bos barang sesuai deskripsi emas rapi aman tuju terima kasih tokopedia jual sicepat,positive
barang bagus paket kirim,positive
mantap,positive
lampu tidak nyala powerbank tidak fungsi,neutral
alhamdulillah selamat belum tau hasil belum pake,positive
barang cepat rusak,negative
kanan pakai low battery posisi charge bisa menit langsung low suara,negative
barang bagus kirim cepat,positive
lumayan sesuai harga,positive
fungsi baik coba kirim cepat,positive
terima kasih,positive
mantap,positive
belum coba si pakai jam normal,positive
barang bagus salah kirim,positive
bagus produk,positive
aman berpubgsi,positive
barang ok suara kadang patah wajar sih barang murah proses kirim rada kalo dbwa expedisi cepat,positive
puasssss bangeeeeet,positive
bagus sesuai harga lumayan dengar musik terima kasih jual,positive
baik budget high quality lumayan,positive
terima kasih,positive
barang sesuai ngebass poko rekomdet deh jngan ragu beli toko,positive
bagus fungsi,positive
ok mantap sesuai pesan kurir mantap,positive
kualitas barang ok harga ok,positive
bagus sih sesuai gambar tidak indikator baterai kiri cepat habis selisih menit,neutral
sesuai harga,positive
barang bagus sesuai diakripsi terima kasih,positive
mantap,positive
fungsi normal kualitas sesuai harga,positive
mantap sesuai pesan fungsi baik coba bassnya wouw terima kasih jual bagus job,positive
lumayan sesuai harga,positive
mantap maaf kasih ulas terima kasih tokopedia kurir,positive
beli toko rekomendet,positive
sesuai estimasi adminnya ramah hidup best pokok,positive
bass asa barang darat aman dus aman baterai awet moga awet,positive
terima baik fungsi baik,positive
mantap,positive
komentar nyata harga murah kupon kalo bayar normal kecewa sih kanan kiri tidak bisa bunyi,positive
puas,negative
jual cepat respond barang sesuai tampil,positive
puas,positive
tes sambung ponsel bluetooth belum connect isi daya mudah mudah bisa connect,positive
terima kasih fungsi baik,positive
barang sesuai gambar kualitas sesuai harga,positive
hancurrrrrrrrrrrrrrr suara parahhhhhhhhhhhhhhhhhhhhhhhhhhhh tidak dehhhhhh,negative
oke harga segitu kualitas lumayan sih,positive
fungsi normal sesuai pesan,positive
kirim cepat suara oke bass asa koneksi bluetooth bagus bisa charge ponsel recommend terima kasih jual toko kurir,positive
mantap packing rapi cepat nya kualitas mantap pkoknya,positive
kecewa dikit soalny tutup nya kek dah rusak,positive
mantap barnag fungsi baik moga awet,positive
packingnya mantap kasih bubble bungkus estimasi sesuai jadwal kualitas barang ok harga gin bassnya mantap,positive
bungkus ringsek tempel wadah headsetnya masuk angin,neutral
beli fungsi baik packing aman terima kasih jual,positive
ok sesuai pesan bass headset bluetooth nya,positive
rada si engsel buka bungkus rawan patah plastik buka tata cas cas an nongol kek cpot trus lampu belah mati,positive
barang sesuai terima kasih,positive
terima sesuai estimasi coba moga awet kualitas sesuai harga,positive
mantap barang bagus harga murah,positive
pesan coba normal moga awet terima kasih,positive
murah riah,positive
bagus sesuai fungsi,positive
moga awet,positive
terima kasih juragan,positive
terima baik normal bisa,positive
beli toko sesuai pesan barang pas lobang telinga suara ngebass ok tahan baterai headset jaman thans jual,positive
mantap asli nagih,positive
siiiip,positive
nyaman telinga audio musik bagus mic nya tangkap suara suara,neutral
nyala coy senang deh,positive
barang terima kondisi baik moga awet terima kasih jual,positive
barang kirim tidak sesuai pesan,neutral
tutup ngampleh barang jelek parah dus penyok,negative
pacing safety baterai tws nya tahan jam pakai dengerin musik over all lumayan harga segitu terima kasih,positive
bass ok suara ok,positive
tws fungsi baik sesuai harga,positive
barang bagus,positive
barang nya selamat bagus kualitas barang nya puas tunggu,positive
barang sesuai pesan kirim cepat jual responsif,positive
beli barang pes normal terima kasih jual,positive
lumayan tidak tau atur english,positive
bagus murah,positive
barang bagus kirim cepat,positive
respon cepat kirim cepat barang fungsi ok,positive
harga harga sih bass treble vokal pas tidak dominan salah enak didenger mudah an awet,positive
bagus,positive
harga barang basss aja harga segitu oklah,neutral
jual mantap kirim cepat,positive
kualitas suara earbud kube cocok migrasi wireless mic harga jangkau layan cepat,positive
baik,positive
mantap,positive
harga gin udah bagus bass nya si santai santai ngisi kegabutan kelas tidak bad baterai awet gitu,positive
oke,positive
barang bagus,positive
fungsi nya tidak ngisi cas kalo pasang fungsi sebenarx lumayan keren sih,negative
bagus,positive
kualitas sesuai harga,positive
ok barang sesuai pesan,positive
barang terima kasih,positive
packingnya bahaya kardus kemas penyok penyok buka barang bagus moga awet,positive
lumayan bagus kanan cepat habis selisih kiri menit kiri habis,positive
packing aman rapi lengkap terima kasih,positive
barang fs murah bagus pinzy gaming,positive
kirim cepat bungkus nya rusak robek kualitas oke sih,positive
cocok,positive
pesan type type foto unboxing lanjur buka foto tidak kasih solusi retur tukar kali,negative
tidak bass nya,neutral
sura belah,negative
respon cepat,positive
mantap,positive
respon jual baik cepat kirim langsung connect bluetooth suara oke charge fungsi nyaman nempel tel,positive
barang sesuai pesan terima kasih,positive
packing rapih sesuai pesan fungsi baik,positive
suara bagus battery life nya singkat dibandingin tws harga harga,positive
kanan tidak nyala,neutral
bagus,positive
alhamdulillah barang barang bagus,positive
kirim cepat barang fungsi baik,positive
salah tidak fungsi mesti,neutral
lumayan,positive
bagus banget,positive
mantaab,positive
beli sekian mantap puas murah bukan murah topp,positive
barang juragan sesuai terima kasih juragan sukses,positive
barang bagus suara mamtap,positive
paket darat belum coba sibuk moga awet,positive
barang mulus aman normal suara mamtep,positive
barang bagus moga awet barang juragan,positive
barang bagus,positive
suara bagus harga murah respon jual kirim keduluan earbud toko,positive
barang terima baik tws nya bagus suara bass mantap volume suara kenceng tidak nyesal pokok nya moga awet,positive
mantap suara,positive
barang rusak belah kanan tidak fungsi hubung handphone kecewa kualitas bar,negative
respond kirim cepat packing aman suara bass oke tidak sesuai gambar warna emas kirim warna hitam kabel cass nya pende,positive
packingnya rapih barang selamat kualitas ok,positive
alhamdulillah bagus,positive
mantap mantap,positive
barang dah bagus fungsi baik kurir jual amanah rekomendasi dah beli toko,positive
kualitas suara turun versi tidak bass nya alias jelek indikator level battery lepas,neutral
barang bagus murah,positive
keren moga awet,positive
headset bluetooth nya cepat low battery tidak menit,negative
ma af kecewa telat kirim aman aja,positive
kadang suka putus suara suka yah,negative
darat selamat tampil baik suara mantap warna sesuai pesan makasihhhhhhhh,positive
barang padu bagus harga jangkau suara lumayan harga gin gassslahh udahhh,positive
respon cepat kirim cepat harap ferguso gambar tidak sesuai nyata,positive
displaynya tinggal kali displaynya jual pisah,neutral
barang sesuai harga bagus,positive
kualitas mantap,positive
barang aktif cuman baterai cepat abis,negative
barang bagus cepat kirim,positive
barang oke normal tengkiu,positive
bagus belah kanan tidak bunyi suara,positive
bagus harga gin bisa murah bagus,positive
barang juragan cepat kirim barangnga sesuai foto bagus,positive
barang bagus respon beli cepat kirim cepat ok deh,positive
mantap selamat lecet kirim cepat suara mantap dahh harga jos mantap,positive
mantap bass,positive
packing rapi kirim cepat aman kualitas audio bagus,positive
gemeresik lambat,neutral
packing aman suara bagus terima kasih,positive
barang cepat kondisi bagus moga awet,positive
mantap barang fungsi baik bagus,positive
nyala belah,negative
sihh pesan kirim kecewa banget,negative
suara baik nyaman baterai awet,positive
pas,positive
barang segel baik fungsi keran,positive
harga ribu tidak harga suara,negative
alhamdulillah lumayan bagus,positive
barang sesuai ekspektasi terima kasih,positive
barang terima kualitas bagus terima kasih,positive
pakai barang oke kualitas suara bagus daya tahan baterai tidak awet pakai jam langsung habis,positive
barang bagus kirim ampun,positive
lega packing aman kualitas bagus barang fungsi baik,positive
kabel usb tidak bisa koneksi wireless headset buka boks wireless susah,negative
barang sesuai kondisi baik bagus paket rapi aman terima kasih,positive
fungsi baik,positive
sesuai pesan,positive
barang aman kurir lelet,positive
kirim cepat barang fungsi baik kualitas suara jelek skala kualitas suara skor anyway sesuai harga,neutral
kualitas produk oke kemas paket rapih kirim barang cepat terima kasih tokopedia kualitas produk ok kemas paket rapih kirim cepat,positive
ok barang dah terima aman sesuai pesan terima kasih toko,positive
bagus,positive
bad quality belah kanan somplak cuman tidak fungsi indah,neutral
lumayan,positive
suara lumayan oke harga sekian baterai cepat habis,positive
fungsi moga awet,positive
mantap packing bagus,positive
fungsi,neutral
suara bagus harganyanjuga sahabat,positive
terima kasih jual paket nya dah moga sukses,positive
mantap rokomendasi,positive
sesuai harga kadang suka hilang sebentar suara oke,positive
mantap bagus sesuai harga,positive
desain modern suara jernih,positive
packing aman kirim cepat jual responsif suara oke nyaman ear tipsnya oke kualitas baik koneksi aman material plastik baik rekomendasi tha,positive
barang ok,positive
ok,positive
baterai awet kualitas suara harga kok ukur harga kayak cinta bass serasa suka musik dominan,positive
terima kasih,positive
tws powerbank bagus kabel charger kabel usb belum type,positive
